Issue_ID,Status,Priority,Category,Subcategory,Title,Description,Component,File,Resolution,Date_Updated,Date_Resolved,Reporter,Assignee,Tags,Test_Coverage,Estimated_Hours,Impact_Area,First_Seen,Last_Seen,Occurrences
session2review:1ee7162cd151,open,medium,reliability,,Add startup health checks with warnings if services unavailable,Add startup health checks with warnings if services unavailable,server/server-improved.js,No startup health checks for AI service and orchestrator dependencies,2026-05-16,2026-06-08,,,no-health-check,"silent-failures, tracker:session-2-review, id:INT-017",3,,,2026-06-08,2026-06-08,1
session2review:bad033a06dd7,open,medium,devops,,Create startup scripts (,Create startup scripts (.bat and .sh) with proper dependency ordering,project root,No comprehensive startup script for all services together,2026-05-16,2026-06-08,,,no-startup-script,"manual-startup, tracker:session-2-review, id:INT-019",4,,,2026-06-08,2026-06-08,1
mainissuetracker:c27cd78f69ba,open,medium,ux,,Dark image - may be hard to read Found in 18/18 screenshot(s),"Dark image - may be hard to read Found in 18/18 screenshot(s). Categories: dashboard, general, history, settings. Screenshots: 01_launched.png, 03_tab_dashboard.png, 02_tab_scan.png, +15 more.",Frontend,,Reopened: regression detected for ux:dark-image-may-be-hard-to-read (was resolved previously),2026-06-06,,ux-pipeline,,"ux-pipeline, vision-analysis, contrast, dark-mode, sig:ux:dark-image-may-be-hard-to-read, tracker:main-issue-tracker, id:UX-001",,,User Interface,2026-06-06,2026-06-06,1
mainissuetracker:5b54faca19c1,open,high,ux,,Low contrast - readability concern Found in 18/18 screenshot(s),"Low contrast - readability concern Found in 18/18 screenshot(s). Categories: dashboard, general, history, settings. Screenshots: 01_launched.png, 03_tab_dashboard.png, 02_tab_scan.png, +15 more.",Frontend,,Reopened: regression detected for ux:low-contrast-readability-concern (was resolved previously),2026-06-06,,ux-pipeline,,"ux-pipeline, vision-analysis, contrast, sig:ux:low-contrast-readability-concern, tracker:main-issue-tracker, id:UX-002",,,User Interface,2026-06-06,2026-06-06,1
mainissuetracker:5d97c3f2fbcd,open,low,ux,,Minimal visual structure detected Found in 18/18 screenshot(s),"Minimal visual structure detected Found in 18/18 screenshot(s). Categories: dashboard, general, history, settings. Screenshots: 01_launched.png, 03_tab_dashboard.png, 02_tab_scan.png, +15 more.",Frontend,,,2026-06-06,,ux-pipeline,,"ux-pipeline, vision-analysis, layout, sig:ux:minimal-visual-structure-detected, tracker:main-issue-tracker, id:UX-003",,,User Interface,2026-06-06,2026-06-06,1
mainissuetracker:1e9f6b00b460,open,medium,ux,,Screenshot appears blurry or low resolution Found in 5/18 screenshot(s),"Screenshot appears blurry or low resolution Found in 5/18 screenshot(s). Categories: dashboard, general, history. Screenshots: 03_tab_dashboard.png, 05_tab_smart_search.png, 06_tab_workflows.png, +2 more.",Frontend,,,2026-06-06,,ux-pipeline,,"ux-pipeline, vision-analysis, capture, sig:ux:screenshot-appears-blurry-or-low-resolution, tracker:main-issue-tracker, id:UX-004",,,User Interface,2026-06-06,2026-06-06,1
mainissuetracker:d9645078316a,open,low,ux,,Desaturated - may need more visual variety Found in 10/18 screenshot(s),"Desaturated - may need more visual variety Found in 10/18 screenshot(s). Categories: dashboard, general, history. Screenshots: 03_tab_dashboard.png, 03_scan_progress_16.png, 03_scan_progress_20.png, +7 more.",Frontend,,,2026-06-06,,ux-pipeline,,"ux-pipeline, vision-analysis, color, sig:ux:desaturated-may-need-more-visual-variety, tracker:main-issue-tracker, id:UX-005",,,User Interface,2026-06-06,2026-06-06,1
mainissuetracker:e78a38cede46,open,high,architecture,God Object,"SpaceAnalyzerApp struct has 60+ fields mixing scanning, AI, workflows, DB, embeddings, and UI state","SpaceAnalyzerApp struct has 60+ fields mixing scanning, AI, workflows, DB, embeddings, and UI state",,src/gui/mod.rs,"Extract domain concerns into separate state containers (e.g. ScanState, AIState, WorkflowState, EmbeddingState) and compose them",2026-06-08,,,,"rust-god-object, egui-state, tracker:main-issue-tracker, id:MAIN-021",Yes,8.0,GUI Architecture,2026-06-08,2026-06-08,1
mainissuetracker:63414d762deb,open,medium,code-quality,Code Duplication,"format_bytes function is independently implemented 5 times with slight format variations (decimal places, TB support)","format_bytes function is independently implemented 5 times with slight format variations (decimal places, TB support)",,src/ + shared-scanner/src/ + system_monitor.rs + workflows/mod.rs + native/scanner/src/,Extract format_bytes into a single shared utility module and re-export it,2026-06-08,,,,"code-duplication, formatting, tracker:main-issue-tracker, id:MAIN-022",Yes,4.0,Formatting Utilities,2026-06-08,2026-06-08,1
mainissuetracker:2c421f814a8a,open,medium,functionality,Incomplete Implementation,"matches_cron only supports * and */n syntax - no ranges, names, or special values like L or W","matches_cron only supports * and */n syntax - no ranges, names, or special values like L or W",,src/workflows/mod.rs,Replace with a proper cron parser library (e.g. croner or cron-parser) or document limitations,2026-06-08,,,,"cron, incomplete-implementation, tracker:main-issue-tracker, id:MAIN-023",Partial,3.0,Workflow Scheduling,2026-06-08,2026-06-08,1
mainissuetracker:e5bd1a8bf832,open,medium,performance,Inefficient Cloning,scan_with_progress_sync clones live_files vector and does full sort on every 50-entry progress update,scan_with_progress_sync clones live_files vector and does full sort on every 50-entry progress update,,shared-scanner/src/lib.rs,Use incremental top-N maintenance (heap) and share via Arc instead of cloning the entire vector,2026-06-08,,,,"cloning, progress-callback, performance, tracker:main-issue-tracker, id:MAIN-024",Partial,4.0,Scanner Performance,2026-06-08,2026-06-08,1
mainissuetracker:2f8d28a2114b,open,high,performance,Lock Contention,Async scan_with_progress acquires Mutex on every single file processed,Async scan_with_progress acquires Mutex on every single file processed,,shared-scanner/src/lib.rs,Use sharded counting (AtomicU64 per stat) and batch-update the result struct at intervals instead of per-file locking,2026-06-08,,,,"mutex-contention, async, performance, tracker:main-issue-tracker, id:MAIN-025",No,6.0,Scanner Performance,2026-06-08,2026-06-08,1
mainissuetracker:625da3bb4d51,open,medium,code-quality,Type Inconsistency,total_files is u64 in shared_scanner::ScanResult but usize in gui_common::ScanResult requiring constant conversion,total_files is u64 in shared_scanner::ScanResult but usize in gui_common::ScanResult requiring constant conversion,,src/ + shared-scanner/src/ + gui_common.rs,Standardize on u64 for file counts across all scan result types to match the domain,2026-06-08,,,,"type-inconsistency, integer-types, tracker:main-issue-tracker, id:MAIN-026",Yes,3.0,Type System,2026-06-08,2026-06-08,1
mainissuetracker:647a77b1db0f,open,medium,compatibility,Minimum Rust Version,FilePatternClassifier::classify_file uses Option::is_none_or which requires Rust 1,FilePatternClassifier::classify_file uses Option::is_none_or which requires Rust 1.82+ while project declares edition 2021,,src/offline_ai.rs,Replace is_none_or with matches(|threshold| size >= threshold) or explicitly bump MSRV in rust-toolchain.toml,2026-06-08,,,,"msrv, compatibility, rust-version, tracker:main-issue-tracker, id:MAIN-027",Yes,2.0,Compatibility,2026-06-08,2026-06-08,1
mainissuetracker:8e4f72b26717,open,medium,architecture,Split Brain,Two independent file categorization systems with different categories (12 vs 14) and divergent mappings,Two independent file categorization systems with different categories (12 vs 14) and divergent mappings,,src/category.rs + native/scanner/src/lib.rs,Unify into a single categorization registry loaded from config and shared across all scan backends,2026-06-08,,,,"categorization, split-brain, duplication, tracker:main-issue-tracker, id:MAIN-028",Partial,5.0,Architecture,2026-06-08,2026-06-08,1
mainissuetracker:58e6c17bd690,open,high,architecture,Tight Coupling,shared-scanner directly imports gpu_compute creating compile-time coupling between CPU scanner and GPU backend,shared-scanner directly imports gpu_compute creating compile-time coupling between CPU scanner and GPU backend,,shared-scanner/src/lib.rs,Introduce a ScanProcessor trait with CpuProcessor and GpuProcessor impls; scanner depends on trait not concrete gpu_compute,2026-06-08,,,,"gpu-coupling, dependency-inversion, architecture, tracker:main-issue-tracker, id:MAIN-029",Yes,6.0,GPU Architecture,2026-06-08,2026-06-08,1
mainissuetracker:f0948e054ebb,open,medium,code-quality,Inconsistent Error Handling,"Mixed error types: anyhow::Result in shared-scanner, rusqlite::Result in DB, OllamaResult in ollama, String in main","Mixed error types: anyhow::Result in shared-scanner, rusqlite::Result in DB, OllamaResult in ollama, String in main.rs CLI",,src/ + shared-scanner/ + native/scanner/ + database/,Define a unified AppError enum using thiserror and use it consistently across all crates,2026-06-08,,,,"error-handling, thiserror, consistency, tracker:main-issue-tracker, id:MAIN-030",Partial,5.0,Error Handling,2026-06-08,2026-06-08,1
mainissuetracker:b4f4a55841ce,open,medium,error-handling,Silent Failures,Permission denied and metadata errors are collected into result,Permission denied and metadata errors are collected into result.errors but never surfaced to the caller or UI,,shared-scanner/src/lib.rs,"Add a warnings callback/channel to surface recoverable errors to the GUI, or include error count in ScanResult summary",2026-06-08,,,,"error-handling, permission-denied, silent-failures, tracker:main-issue-tracker, id:MAIN-031",Partial,2.0,Error Handling,2026-06-08,2026-06-08,1
mainissuetracker:46f5d466bda9,open,low,build-&-deployment,Dependency Duplication,"Core dependencies (serde, tokio, chrono, thiserror, anyhow, regex, walkdir) listed in both [workspace","Core dependencies (serde, tokio, chrono, thiserror, anyhow, regex, walkdir) listed in both [workspace.dependencies] and plain [dependencies]",,Cargo.toml,Remove from plain [dependencies] and use workspace inheritance: serde = { workspace = true },2026-06-08,,,,"cargo, dependencies, duplication, tracker:main-issue-tracker, id:MAIN-032",Yes,1.0,Build System,2026-06-08,2026-06-08,1
